Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,sarcasm
wont somebody please think of the children #sarcasm  httpstcoq8qtectzds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@pxrfectpeach its got her little pout,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
loading mirth out to be trusted websites lkskqufke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
if you couldnt tell by my previous tweet my summer has been lit  #sarcasm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
#irony #fireklinsmann alvarado was garbage beckerman starting a disaster wheres kitchen wheres besler  httpstcotpwkowngxc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
know whats not awkward running into a former students parent in the obgyn waiting room #sarcasm #awkwardsmalltalk #judgylooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
on a tour of the facilities and i see this #irony #food #foodengineering #icecream @ cornell dairy httpstco1phw2vjaey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
american schools are lively,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
@jensenackles @jarpad whatever sam is holding on your tee looks like its got a droop on ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
what a great way to end a great night #not #sarcasm #igiveuponthisday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
just want saturday to be over but then again i want to do good #lsat ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
when your boyfriends a pilot but cant fly to see you  #irony #1monthdown #10daystogo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
here is lynsey really struggling to lay down the opening of our gershwin melody #sarcasm httptcoxurpp7t4rm httptcoxurpp7t4rm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@unavdblyunsafe and as a jew i take particular offense to implications of identifying and segregating people based on vax status #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@mywrldsbl i can be your wolf if you want hihi #breezy,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
@jamienicks it makes complete sense and im elated to hear this ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
"@movesshay i dont think you understand the definition of troll

#irony",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
its a gloomy ass day,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
this is where we were staying this weekend no #irony at all #brandonfolkfest #diggingrootstour httpstcoyq8ytop0zf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
as im preparing to say see you later to my lil niece who has given me joy these last cpl wks i get word my paternal aunt has passed #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
wait for 7 months for a landline and the first call we get is from someone asking if we have had an accident in the last 2 years #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
worst juror ever michelle you were nicoles biggest threat #bitter #bb18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
my blankets are like modernday fingertraps the only way to get out of them is to give in to them #poppunk #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
#cornell on a tour of the facilities and i see this #irony #food #foodengineering #icecream by devinellen httptco9wpzts4r9o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
tbh amy i dont know why you need to sort your life out its looks like your having a great time thanks tiff ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
@viralsss biocon 490 ce up 40 #irony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
be strong independant and practical stop living in your world of fantasy snap out of it the faster u get used to the reality the better,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
